adsorption_measurement/adsorption_energy,adsorption_measurement/doi,adsorption_measurement/external_note,adsorption_measurement/internal_note,adsorption_measurement/is_most_stable_site,adsorption_measurement/method/software,adsorption_measurement/method/exchange_correlation,adsorption_measurement/method/basis_set,adsorption_measurement/method/potentials,adsorption_measurement/method/is_spin_polarization,adsorption_measurement/method/is_zero_point_energy,adsorption_measurement/method/is_fixed_substrate,adsorption_measurement/bulk_surface_property_set/is_stretched,adsorption_measurement/bulk_surface_property_set/is_compressed,adsorption_measurement/bulk_surface_property_set/nano_number_of_atoms,adsorption_measurement/bulk_surface_property_set/termination,adsorption_measurement/bulk_surface_property_set/space_group,adsorption_measurement/bulk_surface_property_set/bulk_surface_material/name,adsorption_measurement/bulk_surface_property_set/primary_bulk_class/name,adsorption_measurement/bulk_surface_property_set/secondary_bulk_class,adsorption_measurement/bulk_surface_property_set/lattice_constant/lattice_constant_1,adsorption_measurement/bulk_surface_property_set/lattice_constant/lattice_constant_2,adsorption_measurement/bulk_surface_property_set/lattice_constant/lattice_constant_3,adsorption_measurement/bulk_surface_property_set/first_layer_composition,adsorption_measurement/bulk_surface_property_set/second_layer_composition,adsorption_measurement/bulk_surface_property_set/facet/name,adsorption_measurement/bulk_surface_property_set/cell_symmetry/name,adsorption_measurement/adsorbate_fraction/fraction,adsorption_measurement/adsorbate_fraction/numeric,adsorption_measurement/adsorbate_fraction/unit,adsorption_measurement/adsorbate_species/formula,adsorption_measurement/adsorbate_species/smiles,adsorption_measurement/adsorbate_species/name,adsorption_measurement/adsorbate_species/molecular_formula,adsorption_measurement/adsorbate_species/connectivity_smiles,adsorption_measurement/adsorption_site/site_name,adsorption_measurement/approver,adsorption_measurement/adsorption_reference_species_set/0/reference_coefficient,adsorption_measurement/adsorption_reference_species_set/0/species/formula,adsorption_measurement/adsorption_reference_species_set/0/species/smiles,adsorption_measurement/adsorption_reference_species_set/0/species/name,adsorption_measurement/adsorption_reference_species_set/0/species/molecular_formula,adsorption_measurement/adsorption_reference_species_set/0/species/connectivity_smiles,adsorption_measurement/emn_user/first_name,adsorption_measurement/emn_user/last_name,adsorption_measurement/emn_user/affiliation,adsorption_measurement/emn_user/email,adsorption_measurement/adsorption_site,adsorption_measurement/bulk_surface_property_set/lattice_constant,adsorption_measurement/bulk_surface_property_set/secondary_bulk_class/name,adsorption_measurement/adsorption_reference_species_set/1/reference_coefficient,adsorption_measurement/adsorption_reference_species_set/1/species/formula,adsorption_measurement/adsorption_reference_species_set/1/species/smiles,adsorption_measurement/adsorption_reference_species_set/1/species/name,adsorption_measurement/adsorption_reference_species_set/1/species/molecular_formula,adsorption_measurement/adsorption_reference_species_set/1/species/connectivity_smiles,adsorption_measurement/bulk_surface_property_set/first_layer_composition/name,adsorption_measurement/bulk_surface_property_set/second_layer_composition/name,adsorption_measurement/bulk_surface_property_set/facet,adsorption_measurement/adsorption_reference_species_set/2/reference_coefficient,adsorption_measurement/adsorption_reference_species_set/2/species/formula,adsorption_measurement/adsorption_reference_species_set/2/species/smiles,adsorption_measurement/adsorption_reference_species_set/2/species/name,adsorption_measurement/adsorption_reference_species_set/2/species/molecular_formula,adsorption_measurement/adsorption_reference_species_set/2/species/connectivity_smiles,adsorption_measurement/bulk_surface_property_set/cell_symmetry,adsorption_measurement/adsorption_reference_species_set/3/reference_coefficient,adsorption_measurement/adsorption_reference_species_set/3/species/formula,adsorption_measurement/adsorption_reference_species_set/3/species/smiles,adsorption_measurement/adsorption_reference_species_set/3/species/name,adsorption_measurement/adsorption_reference_species_set/3/species/molecular_formula,adsorption_measurement/adsorption_reference_species_set/3/species/connectivity_smiles
-2.34,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,HCOO,[O]C=O,formate,CHO2,[O][CH][O],top-top,,1,HCOO,[O]C=O,formate,CHO2,[O][CH][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.22,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,COOH,O[C]=O,carboxyl,CHO2,O[C][O],top,,1,COOH,O[C]=O,carboxyl,CHO2,O[C][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,CO2,O=C=O,carbon dioxide,CO2,[O][C][O],,,1,CO2,O=C=O,carbon dioxide,CO2,[O][C][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.16,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,OH,[OH],hydroxyl,HO,[OH],fcc,,1,OH,[OH],hydroxyl,HO,[OH],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.31,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,H2O,O,water,H2O,O,top,,1,H2O,O,water,H2O,O,Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.83,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,H,[H],"hydrogen, atomic",H,[H],fcc,,1,H,[H],"hydrogen, atomic",H,[H],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.57,10.1016/j.susc.2008.04.035,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(111),2x2,1/4,0.25,Rh,NO,[N]=O,nitric oxide,NO,[N][O],hollow hcp,,1,NO,[N]=O,nitric oxide,NO,[N][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.49,10.1016/j.susc.2008.04.035,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(100),p(4√2x√2),5/8,0.625,Rh,NO,[N]=O,nitric oxide,NO,[N][O],bridge,,1,NO,[N]=O,nitric oxide,NO,[N][O],Matthew,Jankousky,NREL,Matthew.Jankousky@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-1.99,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,CO,[C]#[O],carbon monoxide,CO,[C][O],fcc,,1,CO,[C]#[O],carbon monoxide,CO,[C][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-3.73,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,O,[O],"oxygen, atomic",O,[O],fcc,,1,O,[O],"oxygen, atomic",O,[O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.57,10.1063/1.1560139,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,false,,false,false,false,,Rh,Fm3m,Rh,transition metal,,,,,,,(111),3x3,1/9,0.1111,Rh,NO,[N]=O,nitric oxide,NO,[N][O],hcp,,1,NO,[N]=O,nitric oxide,NO,[N][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.47,10.1063/1.1560139,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,false,,false,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(111),2x2,1/4,0.25,Rh,NO,[N]=O,nitric oxide,NO,[N][O],hcp,,1,NO,[N]=O,nitric oxide,NO,[N][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.02,10.1063/1.1560139,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,false,,false,false,false,,Rh,Fm3m,Rh,transition metal,,,,,,,(111),3x3,1/9,0.1111,Rh,O,[O],"oxygen, atomic",O,[O],fcc,,0.5,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.02,10.1063/1.1560139,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,false,,false,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(111),2x2,1/4,0.25,Rh,O,[O],"oxygen, atomic",O,[O],fcc,,0.5,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.38,10.1063/1.1560139,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,false,,false,false,false,,Rh,Fm3m,Rh,transition metal,,,,,,,(111),3x3,1/9,0.1111,Rh,N,[N],"nitrogen, atomic",N,[N],hcp,,0.5,N2,N#N,nitrogen,N2,[N][N],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.21,10.1063/1.1560139,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,false,,false,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(111),2x2,1/4,0.25,Rh,N,[N],"nitrogen, atomic",N,[N],hcp,,0.5,N2,N#N,nitrogen,N2,[N][N],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.03,10.1063/1.3464481,PdO(100) with an oxygen excess,,true,GPAW,PBE,real-space grid,projector augmented wave,false,,false,false,false,,O,,PdO,metal oxide,,3.11,,5.453,,,(100),2x2,,0.0000,PdO,CO,[C]#[O],carbon monoxide,CO,[C][O],top four-fold coordinate,,1,CO,[C]#[O],carbon monoxide,CO,[C][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-1.47,10.1063/1.3464481,H2O formation reaction used to determine O2 gas phase reference energy,,true,GPAW,PBE,real-space grid,projector augmented wave,false,,false,false,false,,PdO,,PdO,metal oxide,,3.11,,5.453,,,(101),2x2,,0.0000,PdO,CO,[C]#[O],carbon monoxide,CO,[C][O],bridge three-fold coordinate,,1,CO,[C]#[O],carbon monoxide,CO,[C][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-1.66,10.1063/1.3464481,H2O formation reaction used to determine O2 gas phase reference energy,,true,GPAW,PBE,real-space grid,projector augmented wave,true,,false,false,false,,PdO,,PdO,metal oxide,,3.11,,5.453,,,(101),2x2,,0.0000,PdO,O2,O=O,oxygen,O2,[O][O],bridge three-fold coordinate,,1,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.48,10.1063/1.3464481,H2O formation reaction used to determine O2 gas phase reference energy,,true,GPAW,PBE,real-space grid,projector augmented wave,false,,false,false,false,,PdO,,PdO,metal oxide,,3.11,,5.453,,,(101),2x2,,0.0000,PdO,O,[O],"oxygen, atomic",O,[O],bridge three-fold coordinate,,0.5,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.66,10.1016/j.susc.2005.09.028,,,true,DMol3,PW91,,effective core potential,true,,false,false,false,,Pd,Fm3m,Pd,transition metal,,3.86,3.86,3.86,,,(111),2x2,1/4,0.25,Pd,CH2CHOC(O)CH3,CC(=O)OC=C,vinyl acetate,C4H6O2,C[C]([O])O[CH][CH2],,,1,CH2CHOC(O)CH3,CC(=O)OC=C,vinyl acetate,C4H6O2,C[C]([O])O[CH][CH2],Carrie,Farberow,NREL,Carrie.Farberow@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-1.13,10.1016/S0021-9517(03)00057-5,,,true,VASP,PW91,plane wave,projector augmented wave,true,,false,false,false,,Pt,Fm3m,Pt,transition metal,,,,,,,(111),(2√3x2√3)R30°,1/12,0.0833,Pt,CH2CHCHO,C=CC=O,2-propenal,C3H4O,[CH2][CH][CH][O],"η4-trans O-Pt1,C1-Pt1, C2-Pt2, C3-Pt1",,1,CH2CHCHO,C=CC=O,2-propenal,C3H4O,[CH2][CH][CH][O],Carrie,Farberow,NREL,Carrie.Farberow@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.67,10.1016/S0021-9517(03)00057-5,,,true,VASP,PW91,plane wave,projector augmented wave,true,,false,false,false,,Pt,Fm3m,Pt,transition metal,,,,,,,(111),(2√3x2√3)R30°,1/12,0.0833,Pt,CH3C(CH3)CHCHO,O=CC=C(C)C,3-methyl-2-butenal,C5H8O,[O][CH][CH][C](C)C,"η4-trans O-Pt1,C1-Pt1, C2-Pt2, C3-Pt1",,1,CH3C(CH3)CHCHO,O=CC=C(C)C,3-methyl-2-butenal,C5H8O,[O][CH][CH][C](C)C,Carrie,Farberow,NREL,Carrie.Farberow@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.18,10.1088/0953-8984/21/26/264009,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,false,,false,false,false,,Pt,Fm3m,Pt,transition metal,,4,4,4,,,(111),2x2,1/4,0.25,Pt,N2,N#N,nitrogen,N2,[N][N],"top, end-on",,1,N2,N#N,nitrogen,N2,[N][N],Carrie,Farberow,NREL,Carrie.Farberow@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.16,10.1006/jcat.2002.3586,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,true,,true,false,false,,Cu,Fm3m,Cu,transition metal,,3.66,3.66,3.66,,,(111),3x3,1/9,0.1111,Cu,CH3OH,CO,methanol,CH4O,CO,O-H top-bridge-top,,1,CH3OH,CO,methanol,CH4O,CO,Carrie,Farberow,NREL,Carrie.Farberow@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
